,ENTITY_CD,YEAR,ASSESSMENT_NAME,ENTITY_NAME,SUBGROUP_NAME,MEAN_SCORE,ES,MS,EM,ST_NOTSURE,Gender_MEAN_SCORE,MEAN_SCORE_white,MEAN_SCORE_non_white,Subject,MEAN_SCORE_english_language_learners,MEAN_SCORE_non-english_language_learners,Female,post_covid,race_gap,ell_gap
4651851,1000000,2018,ELA6,ALBANY County,All Students,598.0,1,1,1,0.0,602.0,602.0,595.3333333333334,ELA,574.0,599.0,1,0,1,0
4665675,1000000,2018,ELA3,ALBANY County,All Students,600.0,1,1,1,0.0,603.0,604.0,596.6,ELA,585.0,601.0,1,0,1,0
4677842,1000000,2018,ELA5,ALBANY County,All Students,600.0,1,1,1,0.0,602.0,604.0,596.8,ELA,576.0,601.0,1,0,1,0
4690009,1000000,2018,ELA7,ALBANY County,All Students,600.0,1,1,1,0.0,603.0,603.0,597.0,ELA,571.0,601.0,1,0,1,0
4700657,1000000,2018,ELA4,ALBANY County,All Students,600.0,1,1,1,0.0,602.0,603.0,596.6666666666666,ELA,582.0,601.0,1,0,1,0
4714481,1000000,2018,MATH3,ALBANY County,All Students,599.0,1,1,1,0.0,599.0,603.0,596.0,MATH,589.0,599.0,1,0,1,0
4726648,1000000,2018,MATH4,ALBANY County,All Students,599.0,1,1,1,0.0,599.0,603.0,595.0,MATH,586.0,599.0,1,0,1,0
4740472,1000000,2018,MATH7,ALBANY County,All Students,599.0,1,1,1,0.0,600.0,604.0,596.2,MATH,580.0,600.0,1,0,1,0
4751120,1000000,2018,MATH8,ALBANY County,All Students,597.0,1,1,1,0.0,600.0,602.0,593.0,MATH,582.0,598.0,1,0,1,0
4764944,1000000,2018,MATH6,ALBANY County,All Students,601.0,1,1,1,0.0,601.0,607.0,596.0,MATH,581.0,602.0,1,0,1,0
4777111,1000000,2018,MATH5,ALBANY County,All Students,598.0,1,1,1,0.0,598.0,603.0,592.6,MATH,580.0,599.0,1,0,1,0
4795110,1000000,2018,Science8,ALBANY County,All Students,67.0,1,1,1,0.0,69.0,603.3859541044202,595.6012320961034,SCIENCE,579.885680094677,600.0484889356103,1,0,1,0
4808934,1000000,2018,Science4,ALBANY County,All Students,82.0,1,1,1,0.0,82.0,603.3859541044202,595.6012320961034,SCIENCE,579.885680094677,600.0484889356103,1,0,1,0
4822758,1000000,2019,ELA6,ALBANY County,All Students,597.0,1,1,1,0.0,601.0,602.0,595.8,ELA,570.0,599.0,1,0,1,0
4834925,1000000,2019,ELA3,ALBANY County,All Students,599.0,1,1,1,0.0,600.0,602.0,597.0,ELA,585.0,599.0,1,0,1,0
4845573,1000000,2019,ELA7,ALBANY County,All Students,598.0,1,1,1,0.0,602.0,603.0,594.0,ELA,575.0,599.0,1,0,1,0
4859397,1000000,2019,ELA4,ALBANY County,All Students,599.0,1,1,1,0.0,601.0,602.0,597.2,ELA,579.0,600.0,1,0,1,0
4871564,1000000,2019,ELA5,ALBANY County,All Students,599.0,1,1,1,0.0,601.0,603.0,595.6666666666666,ELA,579.0,600.0,1,0,1,0
4883731,1000000,2019,ELA8,ALBANY County,All Students,599.0,1,1,1,0.0,602.0,602.0,596.6,ELA,573.0,600.0,1,0,1,0
4895898,1000000,2019,MATH5,ALBANY County,All Students,599.0,1,1,1,0.0,599.0,603.0,596.6666666666666,MATH,586.0,600.0,1,0,1,0
4908065,1000000,2019,MATH8,ALBANY County,All Students,598.0,1,1,1,0.0,600.0,601.0,596.4,MATH,583.0,599.0,1,0,1,0
4920232,1000000,2019,MATH3,ALBANY County,All Students,600.0,1,1,1,0.0,599.0,604.0,599.4,MATH,591.0,600.0,1,0,1,0
4930880,1000000,2019,MATH4,ALBANY County,All Students,600.0,1,1,1,0.0,600.0,605.0,596.8,MATH,584.0,601.0,1,0,1,0
4943047,1000000,2019,MATH7,ALBANY County,All Students,601.0,1,1,1,0.0,602.0,607.0,596.0,MATH,583.0,602.0,1,0,1,0
4956871,1000000,2019,MATH6,ALBANY County,All Students,601.0,1,1,1,0.0,602.0,607.0,598.6,MATH,584.0,602.0,1,0,1,0
4978299,1000000,2019,Science4,ALBANY County,All Students,81.0,1,1,1,0.0,81.0,603.4460012594459,596.6313811922754,SCIENCE,580.8093109105824,600.1048878862456,1,0,1,0
4990466,1000000,2019,Science8,ALBANY County,All Students,67.0,1,1,1,0.0,66.0,603.4460012594459,596.6313811922754,SCIENCE,580.8093109105824,600.1048878862456,1,0,1,0
5002633,1000000,2021,ELA3,ALBANY County,All Students,604.0,1,1,1,0.0,605.0,608.0,598.6666666666666,ELA,593.0,605.0,1,1,1,0
5014800,1000000,2021,ELA4,ALBANY County,All Students,608.0,1,1,1,0.0,610.0,612.0,602.3333333333334,ELA,593.0,609.0,1,1,1,0
5028624,1000000,2021,ELA5,ALBANY County,All Students,605.0,1,1,1,0.0,608.0,609.0,600.6666666666666,ELA,588.0,606.0,1,1,1,0
5040791,1000000,2021,ELA6,ALBANY County,All Students,605.0,1,1,1,0.0,607.0,607.0,602.3333333333334,ELA,586.0,606.0,1,1,1,0
5052958,1000000,2021,ELA7,ALBANY County,All Students,603.0,1,1,1,0.0,606.0,605.0,600.3333333333334,ELA,585.0,604.0,1,1,1,0
5065125,1000000,2021,ELA8,ALBANY County,All Students,606.0,1,1,1,0.0,610.0,608.0,600.6666666666666,ELA,577.0,607.0,1,1,1,0
5078949,1000000,2021,MATH3,ALBANY County,All Students,598.0,1,1,1,0.0,597.0,469.2445701357466,460.9742081447964,Math,444.52633603939825,464.16977992381976,1,1,1,0
5089597,1000000,2021,MATH4,ALBANY County,All Students,601.0,1,1,1,0.0,601.0,469.2445701357466,460.9742081447964,Math,444.52633603939825,464.16977992381976,1,1,1,0
5103421,1000000,2021,MATH5,ALBANY County,All Students,599.0,1,1,1,0.0,599.0,469.2445701357466,460.9742081447964,Math,444.52633603939825,464.16977992381976,1,1,1,0
5115588,1000000,2021,MATH6,ALBANY County,All Students,599.0,1,1,1,0.0,598.0,469.2445701357466,460.9742081447964,Math,444.52633603939825,464.16977992381976,1,1,1,0
5127755,1000000,2021,MATH7,ALBANY County,All Students,597.0,1,1,1,0.0,597.0,469.2445701357466,460.9742081447964,Math,444.52633603939825,464.16977992381976,1,1,1,0
5139922,1000000,2021,MATH8,ALBANY County,All Students,594.0,1,1,1,0.0,594.0,469.2445701357466,460.9742081447964,Math,444.52633603939825,464.16977992381976,1,1,1,0
5153746,1000000,2021,Science4,ALBANY County,All Students,80.0,1,1,1,0.0,81.0,84.0,74.0,Science,67.0,81.0,1,1,1,0
5167570,1000000,2021,Science8,ALBANY County,All Students,62.0,1,1,1,0.0,63.0,66.0,54.333333333333336,Science,36.0,63.0,1,1,1,0
5181394,1000000,2022,ELA6,ALBANY County,All Students,602.0,1,1,1,0.0,605.0,606.0,599.8,ELA,588.0,603.0,1,1,1,0
5192042,1000000,2022,ELA5,ALBANY County,All Students,602.0,1,1,1,0.0,605.0,605.0,598.0,ELA,582.0,603.0,1,1,1,0
5205866,1000000,2022,ELA4,ALBANY County,All Students,596.0,1,1,1,0.0,599.0,600.0,594.6,ELA,580.0,597.0,1,1,1,0
5218033,1000000,2022,ELA3,ALBANY County,All Students,597.0,1,1,1,0.0,600.0,602.0,593.3333333333334,ELA,587.0,598.0,1,1,1,0
5231857,1000000,2022,ELA8,ALBANY County,All Students,601.0,1,1,1,0.0,604.0,605.0,597.3333333333334,ELA,580.0,601.0,1,1,1,0
5245681,1000000,2022,ELA7,ALBANY County,All Students,602.0,1,1,1,0.0,606.0,606.0,599.2,ELA,578.0,603.0,1,1,1,0
5257848,1000000,2022,MATH4,ALBANY County,All Students,595.0,1,1,1,0.0,595.0,470.5572571428572,462.6166857142857,Math,448.6017082336864,466.39248377178,1,1,1,0
5270015,1000000,2022,MATH3,ALBANY County,All Students,596.0,1,1,1,0.0,596.0,470.5572571428572,462.6166857142857,Math,448.6017082336864,466.39248377178,1,1,1,0
5283839,1000000,2022,MATH6,ALBANY County,All Students,597.0,1,1,1,0.0,597.0,470.5572571428572,462.6166857142857,Math,448.6017082336864,466.39248377178,1,1,1,0
5294487,1000000,2022,MATH8,ALBANY County,All Students,594.0,1,1,1,0.0,595.0,470.5572571428572,462.6166857142857,Math,448.6017082336864,466.39248377178,1,1,1,0
5308311,1000000,2022,MATH7,ALBANY County,All Students,597.0,1,1,1,0.0,598.0,470.5572571428572,462.6166857142857,Math,448.6017082336864,466.39248377178,1,1,1,0
5320478,1000000,2022,MATH5,ALBANY County,All Students,596.0,1,1,1,0.0,595.0,470.5572571428572,462.6166857142857,Math,448.6017082336864,466.39248377178,1,1,1,0
5334302,1000000,2022,Science4,ALBANY County,All Students,77.0,1,1,1,0.0,77.0,82.0,73.4,Science,64.0,78.0,1,1,1,0
5346469,1000000,2022,Science8,ALBANY County,All Students,64.0,1,1,1,0.0,63.0,70.0,57.333333333333336,Science,47.0,65.0,1,1,1,0
5360293,2000000,2018,ELA6,ALLEGANY County,All Students,599.0,1,1,1,0.0,602.0,599.0,597.0,ELA,581.683940247767,598.6833062824116,1,0,1,0
5368293,2000000,2018,ELA3,ALLEGANY County,All Students,599.0,1,1,1,0.0,600.0,599.0,591.0,ELA,581.683940247767,599.0,1,0,1,0
5377554,2000000,2018,ELA7,ALLEGANY County,All Students,597.0,1,1,1,0.0,600.0,596.0,597.5,ELA,581.683940247767,598.6833062824116,1,0,0,0
5386815,2000000,2018,ELA5,ALLEGANY County,All Students,598.0,1,1,1,0.0,601.0,599.0,586.0,ELA,581.683940247767,598.0,1,0,1,0
5394815,2000000,2018,ELA4,ALLEGANY County,All Students,599.0,1,1,1,0.0,602.0,599.0,600.0,ELA,581.683940247767,599.0,1,0,0,0
5402815,2000000,2018,ELA8,ALLEGANY County,All Students,596.0,1,1,1,0.0,600.0,595.0,600.0,ELA,581.683940247767,598.6833062824116,1,0,0,0
5412076,2000000,2018,MATH6,ALLEGANY County,All Students,600.0,1,1,1,0.0,600.0,600.0,584.5,MATH,581.683940247767,599.3666125648233,1,0,1,0
5420076,2000000,2018,MATH5,ALLEGANY County,All Students,599.0,1,1,1,0.0,599.0,599.0,592.0,MATH,581.683940247767,599.0,1,0,1,0
5428076,2000000,2018,MATH8,ALLEGANY County,All Students,597.0,1,1,1,0.0,599.0,597.0,602.0,MATH,581.683940247767,599.3666125648233,1,0,0,0
5438724,2000000,2018,MATH7,ALLEGANY County,All Students,596.0,1,1,1,0.0,597.0,596.0,595.0,MATH,581.683940247767,599.3666125648233,1,0,1,0
5447985,2000000,2018,MATH4,ALLEGANY County,All Students,599.0,1,1,1,0.0,599.0,599.0,597.0,MATH,581.683940247767,599.0,1,0,1,0
5455985,2000000,2018,MATH3,ALLEGANY County,All Students,600.0,1,1,1,0.0,601.0,600.0,592.0,MATH,581.683940247767,600.0,1,0,1,0
5465246,2000000,2018,Science4,ALLEGANY County,All Students,84.0,1,1,1,0.0,84.0,598.1084692473963,594.6479662016113,SCIENCE,581.683940247767,599.0294745199639,1,0,1,0
5474974,2000000,2018,Science8,ALLEGANY County,All Students,71.0,1,1,1,0.0,71.0,598.1084692473963,594.6479662016113,SCIENCE,581.683940247767,599.0294745199639,1,0,1,0
5484235,2000000,2019,ELA6,ALLEGANY County,All Students,597.0,1,1,1,0.0,600.0,598.0,580.5,ELA,580.9983052523038,597.0,1,0,1,0
5491094,2000000,2019,ELA3,ALLEGANY County,All Students,598.0,1,1,1,0.0,601.0,598.0,591.5,ELA,580.9983052523038,598.0,1,0,1,0
5500355,2000000,2019,ELA7,ALLEGANY County,All Students,598.0,1,1,1,0.0,601.0,598.0,587.0,ELA,580.9983052523038,598.488643141153,1,0,1,0
5511003,2000000,2019,ELA4,ALLEGANY County,All Students,600.0,1,1,1,0.0,603.0,600.0,600.0,ELA,580.9983052523038,600.0,1,0,0,0
5520264,2000000,2019,ELA5,ALLEGANY County,All Students,599.0,1,1,1,0.0,602.0,599.0,594.0,ELA,580.9983052523038,599.0,1,0,1,0
5528264,2000000,2019,ELA8,ALLEGANY County,All Students,598.0,1,1,1,0.0,601.0,597.0,601.5,ELA,580.9983052523038,598.0,1,0,0,0
5535123,2000000,2019,MATH6,ALLEGANY County,All Students,600.0,1,1,1,0.0,600.0,600.0,589.0,MATH,580.9983052523038,600.0,1,0,1,0
5544384,2000000,2019,MATH7,ALLEGANY County,All Students,598.0,1,1,1,0.0,599.0,598.0,584.5,MATH,580.9983052523038,600.3366722475607,1,0,1,0
5555032,2000000,2019,MATH4,ALLEGANY County,All Students,601.0,1,1,1,0.0,602.0,601.0,600.0,MATH,580.9983052523038,601.0,1,0,1,0
5564293,2000000,2019,MATH5,ALLEGANY County,All Students,600.0,1,1,1,0.0,600.0,600.0,591.5,MATH,580.9983052523038,600.3366722475607,1,0,1,0
5573554,2000000,2019,MATH3,ALLEGANY County,All Students,601.0,1,1,1,0.0,602.0,601.0,602.0,MATH,580.9983052523038,601.0,1,0,0,0
5582815,2000000,2019,MATH8,ALLEGANY County,All Students,599.0,1,1,1,0.0,601.0,599.961743772242,593.2297597864768,MATH,580.9983052523038,599.0,1,0,1,0
5589674,2000000,2019,Science4,ALLEGANY County,All Students,83.0,1,1,1,0.0,84.0,599.1848517759033,592.818901958587,SCIENCE,580.9983052523038,599.4447583905735,1,0,1,0
5598935,2000000,2019,Science8,ALLEGANY County,All Students,70.0,1,1,1,0.0,69.0,599.1848517759033,592.818901958587,SCIENCE,580.9983052523038,599.4447583905735,1,0,1,0
5611031,2000000,2021,ELA3,ALLEGANY County,All Students,600.0,1,1,1,0.0,601.0,600.0,597.0,ELA,466.7399713723573,600.0,1,1,1,0
5619031,2000000,2021,ELA4,ALLEGANY County,All Students,603.0,1,1,1,0.0,605.0,603.0,596.5,ELA,466.7399713723573,603.0,1,1,1,0
5629679,2000000,2021,ELA5,ALLEGANY County,All Students,602.0,1,1,1,0.0,606.0,602.0,599.0,ELA,466.7399713723573,602.0,1,1,1,0
5640327,2000000,2021,ELA6,ALLEGANY County,All Students,603.0,1,1,1,0.0,606.0,602.0,600.0,ELA,466.7399713723573,603.0,1,1,1,0
5649588,2000000,2021,ELA7,ALLEGANY County,All Students,599.0,1,1,1,0.0,600.0,598.0,399.0,ELA,466.7399713723573,599.0,1,1,1,0
5660236,2000000,2021,ELA8,ALLEGANY County,All Students,601.0,1,1,1,0.0,605.0,602.0,591.0,ELA,466.7399713723573,601.0,1,1,1,0
5668236,2000000,2021,MATH3,ALLEGANY County,All Students,595.0,1,1,1,0.0,594.0,470.5065697511881,435.53312831982106,Math,466.7399713723573,471.29673183657866,1,1,1,0
5676236,2000000,2021,MATH4,ALLEGANY County,All Students,599.0,1,1,1,0.0,599.0,470.5065697511881,435.53312831982106,Math,466.7399713723573,471.29673183657866,1,1,1,0
5686884,2000000,2021,MATH5,ALLEGANY County,All Students,597.0,1,1,1,0.0,598.0,470.5065697511881,435.53312831982106,Math,466.7399713723573,471.29673183657866,1,1,1,0
5697532,2000000,2021,MATH6,ALLEGANY County,All Students,595.0,1,1,1,0.0,595.0,470.5065697511881,435.53312831982106,Math,466.7399713723573,471.29673183657866,1,1,1,0
5706793,2000000,2021,MATH7,ALLEGANY County,All Students,594.0,1,1,1,0.0,594.0,470.5065697511881,435.53312831982106,Math,466.7399713723573,471.29673183657866,1,1,1,0
5717441,2000000,2021,MATH8,ALLEGANY County,All Students,597.0,1,1,1,0.0,597.0,470.5065697511881,435.53312831982106,Math,466.7399713723573,471.29673183657866,1,1,1,0
5725441,2000000,2021,Science4,ALLEGANY County,All Students,77.0,1,1,1,0.0,78.0,77.0,71.0,Science,466.7399713723573,77.0,1,1,1,1
5736089,2000000,2021,Science8,ALLEGANY County,All Students,66.0,1,1,1,0.0,66.0,67.0,30.0,Science,466.7399713723573,66.0,1,1,1,1
5744089,2000000,2022,ELA6,ALLEGANY County,All Students,603.0,1,1,1,0.0,608.0,604.0,448.25,ELA,451.18324984865353,603.0,1,1,1,0
5752089,2000000,2022,ELA5,ALLEGANY County,All Students,599.0,1,1,1,0.0,602.0,599.0,601.0,ELA,451.18324984865353,599.0,1,1,0,0
5761350,2000000,2022,ELA4,ALLEGANY County,All Students,596.0,1,1,1,0.0,598.0,596.0,592.5,ELA,451.18324984865353,596.0,1,1,1,0
5770611,2000000,2022,ELA3,ALLEGANY County,All Students,598.0,1,1,1,0.0,600.0,598.0,597.0,ELA,451.18324984865353,598.0,1,1,1,0
5779872,2000000,2022,ELA8,ALLEGANY County,All Students,598.0,1,1,1,0.0,603.0,598.0,394.3333333333333,ELA,451.18324984865353,598.8590392085628,1,1,1,0
5790520,2000000,2022,ELA7,ALLEGANY County,All Students,603.0,1,1,1,0.0,606.0,602.0,602.0,ELA,451.18324984865353,598.8590392085628,1,1,0,0
5801168,2000000,2022,MATH3,ALLEGANY County,All Students,599.0,1,1,1,0.0,598.0,460.0833105708823,412.2390967859419,Math,451.18324984865353,457.2396741562606,1,1,1,0
5810429,2000000,2022,MATH4,ALLEGANY County,All Students,598.0,1,1,1,0.0,599.0,460.0833105708823,412.2390967859419,Math,451.18324984865353,457.2396741562606,1,1,1,0
5819690,2000000,2022,MATH6,ALLEGANY County,All Students,596.0,1,1,1,0.0,598.0,460.0833105708823,412.2390967859419,Math,451.18324984865353,457.2396741562606,1,1,1,0
5827690,2000000,2022,MATH8,ALLEGANY County,All Students,595.0,1,1,1,0.0,595.0,460.0833105708823,412.2390967859419,Math,451.18324984865353,457.2396741562606,1,1,1,0
5839857,2000000,2022,MATH7,ALLEGANY County,All Students,595.0,1,1,1,0.0,597.0,460.0833105708823,412.2390967859419,Math,451.18324984865353,457.2396741562606,1,1,1,0
5850505,2000000,2022,MATH5,ALLEGANY County,All Students,595.0,1,1,1,0.0,595.0,460.0833105708823,412.2390967859419,Math,451.18324984865353,457.2396741562606,1,1,1,0
5859766,2000000,2022,Science4,ALLEGANY County,All Students,80.0,1,1,1,0.0,79.0,80.0,82.5,Science,451.18324984865353,80.0,1,1,0,1
5869027,2000000,2022,Science8,ALLEGANY County,All Students,68.0,1,1,1,0.0,67.0,68.0,41.0,Science,451.18324984865353,80.0,1,1,1,1
5881194,3000000,2018,ELA6,BROOME County,All Students,596.0,1,1,1,0.0,598.0,599.0,588.3333333333334,ELA,572.0,597.0,1,0,1,0
5895018,3000000,2018,ELA3,BROOME County,All Students,596.0,1,1,1,0.0,599.0,597.0,590.0,ELA,580.0,596.0,1,0,1,0
5907185,3000000,2018,ELA7,BROOME County,All Students,597.0,1,1,1,0.0,600.0,600.0,593.4,ELA,579.0,597.0,1,0,1,0
5917833,3000000,2018,ELA4,BROOME County,All Students,596.0,1,1,1,0.0,598.0,599.0,590.8,ELA,572.0,596.0,1,0,1,0
5928481,3000000,2018,ELA5,BROOME County,All Students,597.0,1,1,1,0.0,599.0,599.0,592.6,ELA,574.0,597.0,1,0,1,0
5939129,3000000,2018,ELA8,BROOME County,All Students,596.0,1,1,1,0.0,600.0,598.0,588.6666666666666,ELA,576.0,597.0,1,0,1,0
5951296,3000000,2018,MATH3,BROOME County,All Students,598.0,1,1,1,0.0,598.0,600.0,590.3333333333334,MATH,583.0,598.0,1,0,1,0
5963463,3000000,2018,MATH5,BROOME County,All Students,597.0,1,1,1,0.0,597.0,599.0,592.8,MATH,584.0,597.0,1,0,1,0
5974111,3000000,2018,MATH4,BROOME County,All Students,597.0,1,1,1,0.0,598.0,600.0,594.2,MATH,578.0,597.0,1,0,1,0
5984759,3000000,2018,MATH7,BROOME County,All Students,597.0,1,1,1,0.0,597.0,600.0,590.8,MATH,579.0,597.0,1,0,1,0
5995407,3000000,2018,MATH6,BROOME County,All Students,598.0,1,1,1,0.0,596.0,601.0,587.0,MATH,583.0,598.0,1,0,1,0
6009231,3000000,2018,MATH8,BROOME County,All Students,597.0,1,1,1,0.0,599.0,600.0,588.6666666666666,MATH,584.0,598.0,1,0,1,0
6021398,3000000,2018,Science8,BROOME County,All Students,72.0,1,1,1,0.0,72.0,599.3361957226183,590.5094080794988,SCIENCE,578.7040954608998,597.10943339705,1,0,1,0
6033565,3000000,2018,Science4,BROOME County,All Students,81.0,1,1,1,0.0,81.0,599.3361957226183,590.5094080794988,SCIENCE,578.7040954608998,597.10943339705,1,0,1,0
6047588,3000000,2019,ELA6,BROOME County,All Students,595.0,1,1,1,0.0,597.0,598.0,590.2,ELA,568.0,596.0,1,0,1,0
6056849,3000000,2019,ELA3,BROOME County,All Students,596.0,1,1,1,0.0,597.0,597.0,590.6666666666666,ELA,578.0,596.0,1,0,1,0
6067497,3000000,2019,ELA7,BROOME County,All Students,596.0,1,1,1,0.0,599.0,599.0,587.3333333333334,ELA,567.0,597.0,1,0,1,0
6081321,3000000,2019,ELA4,BROOME County,All Students,595.0,1,1,1,0.0,598.0,598.0,588.0,ELA,576.0,596.0,1,0,1,0
6093488,3000000,2019,ELA5,BROOME County,All Students,597.0,1,1,1,0.0,601.0,600.0,594.4,ELA,578.0,598.0,1,0,1,0
6104136,3000000,2019,ELA8,BROOME County,All Students,596.0,1,1,1,0.0,599.0,598.0,593.8,ELA,577.0,597.0,1,0,1,0
6114784,3000000,2019,MATH4,BROOME County,All Students,598.0,1,1,1,0.0,598.0,601.0,588.6666666666666,MATH,578.0,598.0,1,0,1,0
6126951,3000000,2019,MATH6,BROOME County,All Students,598.0,1,1,1,0.0,598.0,601.0,595.6,MATH,584.0,599.0,1,0,1,0
6136212,3000000,2019,MATH8,BROOME County,All Students,597.0,1,1,1,0.0,599.0,601.0,592.0,MATH,584.0,597.0,1,0,1,0
6146860,3000000,2019,MATH5,BROOME County,All Students,598.0,1,1,1,0.0,598.0,601.0,595.4,MATH,587.0,598.0,1,0,1,0
6157508,3000000,2019,MATH7,BROOME County,All Students,599.0,1,1,1,0.0,599.0,602.0,589.6666666666666,MATH,580.0,599.0,1,0,1,0
6171332,3000000,2019,MATH3,BROOME County,All Students,597.0,1,1,1,0.0,596.0,599.0,590.3333333333334,MATH,584.0,597.0,1,0,1,0
6181980,3000000,2019,Science8,BROOME County,All Students,69.0,1,1,1,0.0,69.0,599.6114076050701,591.184267289304,SCIENCE,578.2021400083338,597.3538677897494,1,0,1,0
6192628,3000000,2019,Science4,BROOME County,All Students,81.0,1,1,1,0.0,81.0,599.6114076050701,591.184267289304,SCIENCE,578.2021400083338,597.3538677897494,1,0,1,0
6211654,3000000,2021,ELA3,BROOME County,All Students,601.0,1,1,1,0.0,601.0,603.0,593.0,ELA,588.0,601.0,1,1,1,0
6223821,3000000,2021,ELA4,BROOME County,All Students,603.0,1,1,1,0.0,604.0,605.0,600.8,ELA,584.0,604.0,1,1,1,0
6234469,3000000,2021,ELA5,BROOME County,All Students,602.0,1,1,1,0.0,604.0,604.0,599.25,ELA,581.0,603.0,1,1,1,0
6243730,3000000,2021,ELA6,BROOME County,All Students,601.0,1,1,1,0.0,604.0,603.0,593.6666666666666,ELA,580.0,601.0,1,1,1,0
6255897,3000000,2021,ELA7,BROOME County,All Students,600.0,1,1,1,0.0,603.0,602.0,592.0,ELA,578.0,600.0,1,1,1,0
6268064,3000000,2021,ELA8,BROOME County,All Students,601.0,1,1,1,0.0,604.0,603.0,593.3333333333334,ELA,582.0,602.0,1,1,1,0
6278712,3000000,2021,MATH3,BROOME County,All Students,594.0,1,1,1,0.0,592.0,473.3087790110999,465.0237260343088,Math,453.90804038300473,473.3258143377776,1,1,1,0
6290879,3000000,2021,MATH4,BROOME County,All Students,594.0,1,1,1,0.0,594.0,473.3087790110999,465.0237260343088,Math,453.90804038300473,473.3258143377776,1,1,1,0
6301527,3000000,2021,MATH5,BROOME County,All Students,595.0,1,1,1,0.0,594.0,473.3087790110999,465.0237260343088,Math,453.90804038300473,473.3258143377776,1,1,1,0
6310788,3000000,2021,MATH6,BROOME County,All Students,592.0,1,1,1,0.0,591.0,473.3087790110999,465.0237260343088,Math,453.90804038300473,473.3258143377776,1,1,1,0
6322955,3000000,2021,MATH7,BROOME County,All Students,594.0,1,1,1,0.0,594.0,473.3087790110999,465.0237260343088,Math,453.90804038300473,473.3258143377776,1,1,1,0
6335122,3000000,2021,MATH8,BROOME County,All Students,592.0,1,1,1,0.0,593.0,473.3087790110999,465.0237260343088,Math,453.90804038300473,473.3258143377776,1,1,1,0
6345770,3000000,2021,Science4,BROOME County,All Students,76.0,1,1,1,0.0,75.0,78.0,72.4,Science,56.0,76.0,1,1,1,0
6356418,3000000,2021,Science8,BROOME County,All Students,62.0,1,1,1,0.0,62.0,64.0,52.0,Science,44.0,62.0,1,1,1,0
6367066,3000000,2022,ELA6,BROOME County,All Students,602.0,1,1,1,0.0,604.0,604.0,599.25,ELA,587.0,603.0,1,1,1,0
6376327,3000000,2022,ELA5,BROOME County,All Students,599.0,1,1,1,0.0,601.0,601.0,597.8,ELA,584.0,600.0,1,1,1,0
6386975,3000000,2022,ELA4,BROOME County,All Students,595.0,1,1,1,0.0,596.0,597.0,586.6666666666666,ELA,582.0,595.0,1,1,1,0
6399142,3000000,2022,ELA7,BROOME County,All Students,602.0,1,1,1,0.0,606.0,604.0,596.0,ELA,585.0,603.0,1,1,1,0
6411309,3000000,2022,ELA3,BROOME County,All Students,596.0,1,1,1,0.0,598.0,598.0,591.3333333333334,ELA,584.0,596.0,1,1,1,0
6421957,3000000,2022,ELA8,BROOME County,All Students,597.0,1,1,1,0.0,602.0,599.0,594.2,ELA,574.0,598.0,1,1,1,0
6432605,3000000,2022,MATH4,BROOME County,All Students,592.0,1,1,1,0.0,591.0,465.9717457114026,458.7942944836865,Math,446.37166398804806,462.9398555809584,1,1,1,0
6444772,3000000,2022,MATH6,BROOME County,All Students,594.0,1,1,1,0.0,593.0,465.9717457114026,458.7942944836865,Math,446.37166398804806,462.9398555809584,1,1,1,0
6454033,3000000,2022,MATH8,BROOME County,All Students,590.0,1,1,1,0.0,590.0,465.9717457114026,458.7942944836865,Math,446.37166398804806,462.9398555809584,1,1,1,0
6466200,3000000,2022,MATH7,BROOME County,All Students,595.0,1,1,1,0.0,596.0,465.9717457114026,458.7942944836865,Math,446.37166398804806,462.9398555809584,1,1,1,0
6478367,3000000,2022,MATH5,BROOME County,All Students,592.0,1,1,1,0.0,590.0,465.9717457114026,458.7942944836865,Math,446.37166398804806,462.9398555809584,1,1,1,0
6489015,3000000,2022,MATH3,BROOME County,All Students,593.0,1,1,1,0.0,592.0,465.9717457114026,458.7942944836865,Math,446.37166398804806,462.9398555809584,1,1,1,0
6499663,3000000,2022,Science4,BROOME County,All Students,76.0,1,1,1,0.0,75.0,79.0,67.33333333333333,Science,62.0,77.0,1,1,1,0
6511830,3000000,2022,Science8,BROOME County,All Students,66.0,1,1,1,0.0,66.0,69.0,62.0,Science,47.0,66.0,1,1,1,0
6522478,4000000,2018,ELA6,CATTARAUGUS County,All Students,598.0,1,1,1,0.0,602.0,598.0,597.6,ELA,581.683940247767,598.0,1,0,1,0
6533126,4000000,2018,ELA3,CATTARAUGUS County,All Students,600.0,1,1,1,0.0,601.0,601.0,595.4,ELA,581.683940247767,597.3650325677065,1,0,1,0
6543774,4000000,2018,ELA7,CATTARAUGUS County,All Students,599.0,1,1,1,0.0,603.0,601.0,592.0,ELA,581.683940247767,597.3650325677065,1,0,1,0
6554422,4000000,2018,ELA4,CATTARAUGUS County,All Students,599.0,1,1,1,0.0,603.0,601.0,594.2,ELA,581.683940247767,597.3650325677065,1,0,1,0
6566589,4000000,2018,ELA5,CATTARAUGUS County,All Students,597.0,1,1,1,0.0,600.0,598.0,592.4,ELA,581.683940247767,597.0,1,0,1,0
6575850,4000000,2018,ELA8,CATTARAUGUS County,All Students,597.0,1,1,1,0.0,602.0,598.0,594.4,ELA,581.683940247767,597.0,1,0,1,0
